school_name,majority_race,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,casualties
Dillard High School,black,80,1576,76,6,1,,1
Central High School,black,4,913,0,0,2,,2
John Muir Elementary School,hispanic,13,54,252,34,1,,0
Ribault High School,black,53,1051,15,2,0,,0
Larose-Cut Off Middle School,white,405,28,23,15,41,,0
Stamford Academy,black,7,89,33,2,0,,0
Virginia Randolph Community High School,black,66,186,13,3,0,,0
Mattituck Junior-Senior High School,white,736,24,43,8,0,0,1
Carolina Forest High School,white,1400,309,124,60,25,,1
Booker T. Washington High School,black,1,335,0,0,0,,1
Discovery Middle School,white,707,188,27,50,8,,1
Deer Creek Middle School,white,436,7,46,23,4,,2
Woodrow Wilson High School,black,446,818,22,19,4,,0
South Gate High School,hispanic,12,11,3251,3,10,0,1
Sullivan Central High School,white,1097,7,6,3,1,0,1
Socastee High School,white,1143,119,98,37,1,5,1
Alisal High School,hispanic,14,10,2420,28,1,5,1
Kelly Elementary School,white,314,12,67,36,3,0,2
Marinette High School,white,658,4,17,2,8,1,0
Millard South High School,white,1668,79,186,32,12,6,3
Gardena High School,hispanic,22,610,1490,140,9,,2
Louisiana Schnell Elementary School,white,259,2,121,3,8,0,1
Martinsville West Middle,white,555,0,13,2,2,0,1
Sheeler Charter High School,black,104,250,101,2,1,0,1
Ross Elementary School,black,1,301,145,2,9,1,2
Cape Fear High School,white,913,437,83,9,71,3,1
Cummings Middle School,hispanic,3,0,742,0,1,0,1
North Forest High School,black,8,868,395,0,2,1,1
Walpole Elementary School,white,139,0,5,1,1,0,0
Armin Jahr Elementary School,white,193,24,69,19,5,22,1
Chardon High School,white,1028,5,9,4,4,0,6
Episcopal School of Jacksonville,white,753,44,25,5,3,0,1
LeFlore High School,black,5,912,2,0,1,0,0
Mary Scroggs Elementary School,white,325,32,106,66,1,0,1
Perry Hall High School,white,1361,508,79,213,2,1,1
Normal Community High School,white,1314,196,145,124,8,5,0
Sandy Hook Elementary School,white,389,15,22,23,0,0,28
Apostolic Revival Center and Christian School,black,0,22,0,0,0,0,1
Taft Union High School,white,487,9,384,6,22,12,2
Price Middle School,black,0,380,20,0,0,0,1
La Salle High School,white,613,71,4,3,0,0,0
Redland Middle School,hispanic,44,185,257,3,0,0,1
Ronald E. McNair Discovery Learning Academy,black,9,786,23,0,0,0,0
Carver High School,black,23,411,96,4,2,1,1
Agape Christian Academy,black,3,259,4,0,0,65,2
Lanier High School,hispanic,61,138,1273,51,15,0,0
Sparks Middle School,hispanic,146,13,501,26,4,9,3
Newman Elementary School,hispanic,75,17,627,21,0,0,3
West Orange High School,white,1927,594,898,211,28,11,1
Arapahoe High School,white,1879,26,225,57,9,3,1
Liberty Technology Magnet High School,black,275,503,15,2,2,0,1
Berrendo Middle School,white,311,6,302,9,1,2,3
King Elementary School,hispanic,20,69,425,7,0,0,0
Delaware Valley Charter School,black,0,675,5,0,0,0,2
Rebound High School,,,,,,,,1
President Theodore Roosevelt High,asian,72,17,36,846,6,338,1
Bend High School,white,1368,21,180,25,23,4,0
Salisbury High School,black,274,399,140,22,5,0,1
Success Academy,,,,,,,,1
Benjamin Banneker High School,black,3,1483,41,2,1,0,0
D. H. Conley High School,white,973,395,138,27,5,0,0
Reynolds High School,white,1208,231,917,263,21,41,2
Stellar Leadership Academy,black,0,204,29,0,0,0,1
Fern Creek High School,white,716,577,136,73,1,1,1
Albemarle High School,white,199,180,30,23,3,0,1
Marysville Pilchuck High School,white,736,25,250,46,77,1,5
Hand in Hand Montessori,white,178,5,3,12,0,0,0
North Thurston High School,white,842,73,237,165,22,22,0
W.S. Hornsby Elementary School,black,12,717,3,0,0,2,1
Harrisburg High School,white,738,12,17,9,10,0,1
Karen Wagner High School,hispanic,203,678,1299,38,5,3,0
Vereen School,,,,,,,,0
Lecanto High School,white,1243,72,132,59,12,1,0
Harmony Grove High School,white,294,69,20,3,0,1,1
Benjamin Franklin High School,black,9,516,46,31,1,0,0
Independence High School,hispanic,247,190,1535,42,29,3,1
Madison High School,white,1495,9,13,2,0,3,4
Huffman High School,black,13,1341,63,2,6,0,1
Alpine High School,hispanic,97,2,190,1,0,1,1
Townville Elementary School,white,265,13,3,2,0,1,3
CF Vigor High School,black,13,693,2,0,1,0,1
Linden-McKinley STEM Academy,black,56,582,35,2,1,0,2
June Jordan High School for Equity,hispanic,8,48,157,28,1,5,4
Union Middle School,white,592,15,226,16,5,21,1
Bay City Western High School,white,1176,6,36,10,4,0,1
Mueller Park Jr. High,white,661,14,78,17,2,19,0
West Liberty-Salem Middle/High School,white,590,1,3,3,1,1,2
Scotlandville Magnet High School,black,10,1370,4,0,0,0,0
Robert E. Lee High School,black,132,1253,90,20,2,0,1
North Park Elementary School,hispanic,61,60,360,9,3,0,3
Moss Bluff Elementary School,white,754,118,36,14,2,0,1
Greensboro High School,black,3,457,1,0,0,0,0
Warren Elementary School,black,0,275,4,0,0,0,2
Columbus Scioto 6-12,black,46,71,4,0,0,0,0
Freeman High School,white,282,7,23,5,4,0,4
Mattoon High School,white,931,36,40,9,1,1,1
Pattengill Academy,black,135,180,125,11,4,0,1
Benjamin Banneker High School,black,6,1478,49,2,1,0,2
Rancho Tehama Elementary School,hispanic,44,2,49,3,2,0,2
Aztec High School,white,495,7,225,2,170,2,2
High Point Central High School,black,437,589,216,147,6,0,0
The NET Charter High School,black,5,151,16,0,0,0,0
Italy High School,white,141,43,94,0,0,0,1
Marshall County High School,white,1353,1,14,2,3,0,16
Murphy High School,black,402,1565,62,42,3,2,0
Salvador B. Castro Middle School,hispanic,2,8,311,21,0,0,5
Marjory Stoneman Douglas High School,white,1871,364,623,210,17,2,34
Dalton High School,hispanic,458,103,1192,36,2,0,0
Huffman High School,black,13,1341,63,2,6,0,1
Seaside High School,hispanic,113,79,680,107,1,35,3
Big Sky High School,white,903,17,58,21,70,6,0
Douglass Park Elementary School,black,5,738,8,2,1,0,1
Great Mills High School,white,657,577,121,76,4,1,2
Eupora High School,white,310,142,4,0,0,0,0
Jackson High School,white,577,342,75,33,3,2,0
Forest High School,white,1396,336,298,24,16,2,1
Benjamin Elijah Mays High School,black,2,1166,80,0,2,0,0
Highland High School,hispanic,98,100,818,21,86,2,1
Highland High School,hispanic,462,453,1742,159,19,5,1
Dixon High School,white,650,24,51,17,1,0,0
Santa Fe High School,white,1136,10,278,8,9,1,23
Noblesville West Middle School,white,1179,28,82,22,0,1,2
Villa Heights Elementary School,black,24,73,15,6,0,0,0
Canyon Springs High School,hispanic,154,793,1757,56,4,18,1
Lawrence Orr Elementary School,hispanic,27,292,423,92,0,1,0
Denali Montessori Elementary School,white,192,22,50,31,44,27,1
Battle Creek Academy,white,53,17,9,26,0,0,0
Paul Laurence Dunbar School,hispanic,15,139,186,2,2,0,0
Butler High School,white,860,681,410,86,9,1,1
Simonsdale Elementary School,white,432,217,24,6,0,1,1
Dennis Intermediate School,white,454,48,64,2,0,0,0
Cascade Middle School,white,224,1,79,6,7,3,0
North High School,black,6,339,15,6,7,1,0
Frederick Douglass High School,black,8,864,2,0,3,0,1
V. Sue Cleveland High School,hispanic,795,63,1284,35,97,2,0
Robert E. Lee High School,black,132,1253,90,20,2,0,1
Highlands Elementary School,white,270,5,20,2,0,0,0
Blountsville Elementary School,white,516,4,110,0,2,0,1
Prescott High School,white,246,182,21,4,4,0,1
New Joseph Bonnheim Community Charter School,hispanic,38,38,194,17,2,1,0
Saint Clair Evans Academy,black,5,367,3,0,0,0,0
Flex High School,black,9,106,2,0,0,0,0
STEM School Highlands Ranch,white,1074,5,184,242,5,1,9
Menta Academy North,,,,,,,,0
Hendley Elementary School,black,0,378,0,1,0,0,0
Blount Elementary School,white,150,116,25,121,1,0,0
Hollenbeck Middle School,hispanic,11,4,999,4,3,1,1
South Aiken High School,white,840,391,99,19,6,1,0
Aiton Elementary School,black,0,238,5,0,0,0,0
Ridgway High School,hispanic,64,4,163,4,5,1,1
Achievement Academy,black,4,332,5,0,1,0,1
Esteban Torres High School,hispanic,9,20,1836,8,2,0,1
Saugus High School,white,1294,47,772,176,3,1,5
Waukesha South High School,white,479,76,329,25,3,0,1
Oshkosh West High School,white,1475,36,70,79,4,1,1
Decatur High School,white,448,301,250,9,6,2,0
Sacred Heart School,black,2,180,12,5,0,0,0
Catholic Academy of New Haven,black,27,141,39,9,2,0,0
Bellaire High School,hispanic,722,695,1520,469,8,3,1
McAuliffe Elementary School,hispanic,77,16,554,31,1,1,1
West High School,hispanic,966,127,1137,229,25,101,0
Antioch High School,hispanic,319,421,1092,103,14,32,0
Cesar Chavez Community School,hispanic,13,7,154,0,26,0,0
Sagemont School,,,,,,,,1
Ribault High School,black,30,1318,11,3,0,0,1
Lincoln Elementary School,white,258,118,156,0,8,0,1
Hendersonville Middle School,white,357,54,109,7,0,4,1
Watson Chapel Junior High,black,91,498,12,11,0,0,1
Wayne Central Middle School,white,640,13,23,6,0,0,1
Achievement First Amistad High School,,,,,,,,0
Edwards Elementary School,white,307,160,2,3,0,0,1
Bishop Hartley High School,white,404,190,29,10,0,0,0
Selma High School,black,2,771,1,1,0,1,0
Austin-East Magnet High,black,81,584,41,1,0,0,1
Ply_mouth Middle School,white,454,262,163,35,5,0,0
Smyrna Middle School,white,571,286,76,16,0,2,1
Urban Dove Team Charter School,black,3,218,81,1,10,0,1
Mary Evelyn Castle Elementary School,black,192,247,157,18,0,1,1
Ware Shoals High School,white,212,36,16,0,0,0,0
Rigby Middle School,white,1334,1,169,5,3,3,3
North Forest High School,black,6,570,397,0,2,0,1
Saint Francis de Sales School,white,556,10,5,3,3,0,1
Lithonia High School,black,9,1253,74,2,2,1,1
Washington Middle School,hispanic,14,6,407,4,5,1,1
Orangeburg-Wilkinson High School,black,17,954,30,9,2,2,3
New Hanover High School,white,658,488,290,20,4,1,1
Mount Tabor High School,black,509,628,252,16,5,2,1
LaVergne High School,hispanic,474,608,702,66,4,4,0
Tri-County Education Center,black,29,319,4,2,0,0,0
Heritage High School,black,77,971,82,7,2,5,2
Newton County Elementary School,white,568,167,14,10,22,2,1
Cummings K-8 Optional School,black,1,488,0,0,0,0,1
YES Prep Southwest Secondary,hispanic,4,53,951,1,1,0,1
Timberview High School,hispanic,44,69,74,21,0,1,4
Little Rock Central High School,black,785,1254,155,201,18,0,0
Wendell Phillips Academy High School,black,1,582,9,0,1,0,2
James McDade Classical School,black,2,162,1,4,0,0,0
Cathedral School,white,499,82,9,2,0,0,0
Poughkeepsie High School,black,72,612,413,7,3,6,0
P.S. 44,hispanic,4,83,174,0,1,1,0
Hinkley High School,hispanic,117,290,1513,81,18,25,3
Thornton Township High School,black,3,1126,406,24,4,1,0
Cesar Chavez High School,hispanic,115,396,1816,53,129,8,1
Oxford High School,white,1549,53,186,30,1,5,11
Sam Rayburn High School,hispanic,130,84,2482,10,4,0,0
Great Oaks Charter School,hispanic,9,92,179,11,2,0,0
Jesse C. Carson High School,white,933,48,205,6,3,0,0
West Charlotte High School,black,18,1058,187,35,2,0,0
Eau Claire High School,black,6,440,46,0,0,6,0
Auburn High School,black,498,770,331,75,4,2,2
Seminole High School,white,1377,1134,975,385,14,11,1
Oliver Citywide Academy,black,9,85,0,0,0,0,1
Magruder High School,hispanic,436,302,671,210,3,0,1
South Education Center,hispanic,15,17,27,2,1,1,2
Mount Vernon High School,black,45,974,262,11,6,2,0
Liberty Point International School,white,256,4,227,0,4,2,1
Jonesboro High School,black,44,923,313,48,6,0,0
Olathe East High School,white,1264,209,280,102,7,4,2
East High School,hispanic,644,339,922,158,10,2,3
North Gardens High School,hispanic,11,138,183,0,0,0,3
De Anza High School,hispanic,106,308,665,243,4,10,1
Eisenhower High School,hispanic,447,11,1372,12,21,1,1
Mott-Regent School,white,87,2,3,0,5,1,1
Rippon Middle School,black,127,519,498,140,2,5,0
Western High School,hispanic,155,451,1969,49,1,21,0
West Philadelphia Achievement Charter Elementary School,black,60,382,6,10,8,0,0
Tanglewood Middle,hispanic,105,351,379,0,4,0,1
Lowellville Junior/Senior High School,white,191,9,15,0,0,0,0
Erie High School,black,803,912,317,111,4,1,1
Pine Bluff High School,black,21,851,16,1,0,0,0
Edmund Burke School,,,,,,,,4
Aspen Ridge Elementary School,white,706,3,6,5,12,5,0
Heights High School,hispanic,257,296,1841,23,3,2,1
Alexander W. Dreyfoos School of Arts,white,710,125,326,127,3,0,0
Walt Disney Magnet School,black,231,738,317,177,9,3,1
Mexia High School,hispanic,97,134,280,9,0,1,0
Robb Elementary School,hispanic,47,6,516,0,0,0,33
Ulysses S. Grant High School,hispanic,732,58,1010,61,5,2,2
Walnut Park Elementary,white,118,48,35,1,1,0,2
John Finney High School,hispanic,9,53,65,4,0,2,0
Madison Park Academy,hispanic,5,117,589,15,1,22,1
Mergenthaler Vocational Technical High School,black,51,1577,145,6,0,1,1
Treasure Cost Classical Academy,white,818,25,130,20,1,1,0
Mankato West High School,white,993,121,59,28,2,59,0
Rudsdale High School,hispanic,1,56,229,3,0,3,6
Jeremiah E. Burke High School,black,15,232,126,3,0,3,1
James Madison Academic Campus,black,10,625,29,21,0,0,1
Central Visual and Performing Arts High School,black,56,289,26,6,1,0,9
Ingraham High School,white,762,155,235,147,7,5,1
Ball Elementary School,white,473,39,22,24,1,0,2
South Vermillion High School,white,506,4,12,0,0,1,1
Freedom Preparatory High School,black,1,233,49,0,0,0,1
Suitland High School,black,28,1806,185,4,5,4,1
Fuquay-Varina Middle School,white,694,183,210,18,6,3,0
Cleveland High School,white,1062,42,150,138,2,6,1
Benjamin Franklin High School,black,83,574,349,18,1,0,0
Beechcroft High School,black,53,375,141,30,1,1,0
Richneck Elementary School,black,141,275,86,20,0,2,1
William Penn High School,black,551,1074,511,47,11,11,0
Booker T. Washington High School,black,1,700,34,0,1,0,1
Plaza Academy,,,,,,,,1
Taylorsville High School,white,1359,90,1041,115,26,95,0
Gila Ridge High School,hispanic,672,31,1373,15,13,6,2
Geary Elementary School,white,71,5,19,0,43,0,0
Ridgeview Jr. High School,white,129,2,3,0,0,0,0
PS 78,hispanic,25,242,280,22,8,10,0
Dalhart ISD schools,hispanic,521,13,1178,3,6,1,1
Westinghouse Academy,black,11,627,10,1,3,0,4
Palo Duro High School,hispanic,203,347,1083,211,7,6,1
Lamar High School,hispanic,385,901,"1,107",65,13,3,2
Anniston High School,black,21,387,30,0,0,0,1
East High School,white,1325,417,571,63,6,8,2
Northridge Middle School,white,831,19,107,9,,1,0
The Covenant School,white,112,3,0,1,0,0,6
George Wythe High School,hispanic,32,598,652,3,0,0,2
West High School,white,909,305,187,23,0,3,1
International Academy of Flint K12,black,36,800,12,0,7,0,1
Von Tobel Ed MS,hispanic,25,128,867,6,2,6,1
E. Washington Rhodes Elementary School,black,4,370,20,0,3,0,0
Roosevelt High School,black,6,432,354,4,0,0,1
St. John's Prep,white,1186,50,140,50,0,10,0
Oliver Citywide Academy,black,9,82,2,1,0,0,1
Michigan Collegiate High School,black,3,628,2,4,0,0,0
